trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",30,0,-21.265058202589874,"{0: 23, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9409}",25,0,-241.1164955960382,"{0: 12, 1: 4, 2: 3, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.912673}",20,0,-110.04143271740907,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",30,2,-58.145087604318924,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",20,0,-71.78101393265587,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289999}",20,2,-129.02344245421355,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.8079828447811299}",25,0,-169.8862175470037,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.783743359437696}",20,0,-110.88933576266197,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",20,0,-69.82515030050051,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",20,0,-27.29218979948544,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",20,0,-37.417006199680785,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.6938423609954378}",25,0,-22.18777141732512,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6730270901655747}",20,0,-7.214307962363193,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.6528362774606075}",35,0,-174.918077395478,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.6332511891367892}",20,0,-105.6888798218917,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.6142536534626856}",20,0,-52.954244373740856,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.595826043858805}",20,4,-65.95085988008238,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.5779512625430409}",25,12,-2.693511437917338,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.5606127246667496}",30,7,-44.261954587130944,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5437943429267471}",25,0,-95.62622858252969,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.5274805126389447}",20,0,-122.16674424265946,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.5116560972597763}",20,12,-72.61172900164028,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.496306414341983}",25,11,-18.949608885187025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.48141722191172354}",20,0,3.531607307480165,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.4669747052543718}",25,0,-53.05053445029667,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.4529654640967406}",20,1,6.763804395384214,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.4393765001738384}",20,4,-14.690304965085287,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.42619520516862325}",25,0,-45.2644757140536,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.4134093490135645}",25,12,6.672334885129699,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.4010070685431576}",30,17,-31.999170434932466,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
